Names	total	elements
hsa-miR-106b-5p hsa-miR-144-3p hsa-miR-33a-5p hsa-miR-33b-5p hsa-miR-758-3p	5	ATP-binding cassette, sub-family A (ABC1), member 1
		sodium channel, voltage-gated, type I, alpha subunit
		karyopherin alpha 3 (importin alpha 4)
		TSC22 domain family, member 2
		syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)
hsa-miR-106b-5p hsa-miR-144-3p hsa-miR-33a-5p hsa-miR-33b-5p	37	YTH domain family, member 3
		ubiquitin specific peptidase 6 (Tre-2 oncogene)
		CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2
		WD repeat and FYVE domain containing 3
		tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
		coiled-coil domain containing 144A
		synaptotagmin binding, cytoplasmic RNA interacting protein
		RAR-related orphan receptor B
		RGM domain family, member A
		SH3 and multiple ankyrin repeat domains 2
		zinc finger CCCH-type containing 12C
		RAB30, member RAS oncogene family
		SLIT-ROBO Rho GTPase activating protein 1
		fibroblast growth factor receptor substrate 2
		CREB3 regulatory factor
		prostaglandin F2 receptor inhibitor
		sal-like 1 (Drosophila)
		phosphodiesterase 3B, cGMP-inhibited
		family with sequence similarity 126, member B
		regulator of G-protein signaling 17
		purine-rich element binding protein B
		B-cell CLL/lymphoma 11B (zinc finger protein)
		N(alpha)-acetyltransferase 30, NatC catalytic subunit
		CUGBP, Elav-like family member 2
		v-crk avian sarcoma virus CT10 oncogene homolog
		pantothenate kinase 3
		DENN/MADD domain containing 5B
		transcription factor 4
		family with sequence similarity 222, member B
		ubiquitin specific peptidase 46
		tet methylcytosine dioxygenase 2
		QKI, KH domain containing, RNA binding
		ubinuclein 2
		nuclear fragile X mental retardation protein interacting protein 2
		RAR-related orphan receptor A
		cytoplasmic polyadenylation element binding protein 3
		ubiquitin specific peptidase 32
hsa-miR-106b-5p hsa-miR-33a-5p hsa-miR-33b-5p hsa-miR-758-3p	10	sphingosine-1-phosphate receptor 1
		nuclear receptor coactivator 3
		calcium/calmodulin-dependent protein kinase II inhibitor 1
		zinc finger protein, FOG family member 2
		additional sex combs like 2 (Drosophila)
		ELKS/RAB6-interacting/CAST family member 1
		DEAD (Asp-Glu-Ala-Asp) box helicase 5
		G protein-coupled receptor 37 (endothelin receptor type B-like)
		diacylglycerol kinase, eta
		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
hsa-miR-144-3p hsa-miR-33a-5p hsa-miR-33b-5p hsa-miR-758-3p	4	BTB and CNC homology 1, basic leucine zipper transcription factor 2
		transmembrane protein 65
		Meis homeobox 2
		striatin, calmodulin binding protein
hsa-miR-106b-5p hsa-miR-33a-5p hsa-miR-33b-5p	87	ALX homeobox 4
		pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8
		septin 7
		salt-inducible kinase 1
		cysteine-serine-rich nuclear protein 3
		spermatid perinuclear RNA binding protein
		transient receptor potential cation channel, subfamily C, member 4
		protein phosphatase 6, catalytic subunit
		family with sequence similarity 46, member C
		receptor accessory protein 3
		GRB10 interacting GYF protein 1
		EPH receptor A4
		protocadherin alpha 13
		tubulin folding cofactor E-like
		nuclear protein, ataxia-telangiectasia locus
		sterile alpha motif domain containing 8
		solute carrier family 6 (neurotransmitter transporter), member 5
		serine/threonine/tyrosine interacting protein
		protocadherin alpha 7
		fibroblast growth factor 12
		phosphatidylinositol-5-phosphate 4-kinase, type II, gamma
		solute carrier family 24 (sodium/potassium/calcium exchanger), member 4
		trinucleotide repeat containing 6C
		mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase
		semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)
		SET domain containing (lysine methyltransferase) 7
		BCL2-associated athanogene 2
		protocadherin alpha 3
		ring finger protein, LIM domain interacting
		tetraspanin 9
		protocadherin alpha 8
		mortality factor 4 like 1
		potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2
		cyclin-dependent kinase 6
		regulating synaptic membrane exocytosis 2
		protocadherin alpha 12
		DnaJ (Hsp40) homolog, subfamily C, member 15
		sorting nexin 9
		abhydrolase domain containing 2
		syntaxin binding protein 5 (tomosyn)
		protocadherin alpha 4
		discs, large (Drosophila) homolog-associated protein 2
